label,source,target,id,Weight,Nature of Relationship,Weight_dynamic,Citation,size
Corporate,160,162,196,1.0,InnoVida paid JBA for consulting,"<[1.1968128E12, 1.2845916E12, 1.0]>",http://www.nationalreview.com/article/412526/jeb-bushs-big-innovida-headache-jim-geraghty,1
Corporate,122,120,131,1.0,Andreotti is CEO of BMS,"<[1.2726684E12, 1.479168E12, 1.0]>",http://en.wikipedia.org/wiki/Lamberto_Andreotti,1
Donor,24,6,6,1.0,Huck Pack is Huckabee's PAC,"<[2008.0, 2016.0, 1.0]>",,1
Service,157,67,190,1.0,"Clinton was part of UN envoy to Haiti and has a Haiti fund, Bellerive was PM, both are connected through Tony Rodham as well",,http://www.washingtonpost.com/politics/role-of-hillary-clintons-brother-in-haiti-gold-mine-raises-eyebrows/2015/03/20/c8b6e3bc-cc05-11e4-a2a7-9517a3a70506_story.html; http://news.bbc.co.uk/1/hi/8056762.stm,1
Corporate,89,92,85,1.0,"From 2001 to 2007, Giustra was Chair of Endeavour Financial","<[9.783072E11, 1.1676096E12, 1.0]>",http://en.wikipedia.org/wiki/Frank_Giustra#Investment_industry,1
Service,68,67,41,1.0,Bush succedded Clinton in 2000,"<[9.466848E11, 1.479168E12, 1.0]>",,1
Service,9,58,73,1.0,Biden was Senator while Castle was Representing DE,"<[7.260192E11, 1.479168E12, 1.0]>",http://en.wikipedia.org/wiki/Michael_Castle,1
Corporate,3,120,129,1.0,Christie didn't prosecute BMS but instead got them to donate to his alma mater,"<[1.1991456E12, 1.479168E12, 1.0]>",http://blog.nj.com/ledgerarchives/2008/11/christie_quits_setting_gop_whe_1.html,1
Corporate,58,57,24,1.0,Michael Caster has been a partner of DLA Piper since 2011,"<[1.29384E12, 1.479168E12, 1.0]>",,1
Personal,95,88,89,1.0,Eychaner has given over 25 million to Clinton Foundation,"<[2008.0, 2016.0, 1.0]>",https://www.clintonfoundation.org/contributors?category=Greater+than+%2425%2C000%2C000,1
Personal,133,66,145,1.0,"Johnson consulted with, donated, and supported Obama","<[1.0729152E12, 1.479168E12, 1.0]>",http://en.wikipedia.org/wiki/James_A._Johnson_(politics)#Association_with_Barack_Obama,1
Corporate,158,66,202,1.0,"in 2008, prior to his election win, Obama attended a private investors meeting with Osorio at his house.",,http://www.miamiherald.com/news/local/community/miami-dade/article1955164.html,1
Corporate,3,107,111,1.0,Christie was the registered lobbyist for them until 2001,"<[9.151488E11, 9.783072E11, 1.0]>",http://en.wikipedia.org/wiki/Chris_Christie#Lobbyist,1
Corporate,134,137,149,1.0,Dodd got good loans from countrywide through cronyism,,http://www.wsj.com/articles/SB121279970984353933,1
Corporate,113,107,120,1.0,Uni. Ph. Uses DH&P as their lobbying arm,"<[9.151488E11, 1.479168E12, 1.0]>",http://en.wikipedia.org/wiki/Chris_Christie#Lobbyist,1
Corporate,4,160,194,1.0,Jeb Bush was on the board of InnoVida,,http://www.nationalreview.com/article/412526/jeb-bushs-big-innovida-headache-jim-geraghty,1
Personal,70,72,50,1.0,"Cheney was head of CFR form 1987-89, 1993-95","<[7.258464E11, 7.889184E11, 1.0]>",http://www.cfr.org/about/history/cfr/appendix.html,1
Personal,68,4,53,1.0,George and Jeb Bush are Brothers,"<[6.31152E11, 1.479168E12, 1.0]>",,1
Corporate,137,131,170,1.0,Dodd tried to protect FM during bailout from being bailed out,"<[1.1991456E12, 1.479168E12, 1.0]>",http://en.wikipedia.org/wiki/Chris_Dodd#Fannie_Mae.2FFreddie_Mac_controversies,1
Corporate,1,22,8,1.0,"Hillary served on board of directors for Wal Mart. Wal Mart is also incorporated in Arkansas, where Bill Clinton was formerly Governor","<[6.31152E11, 7.2576E11, 1.0]>",,1
Corporate,108,3,113,1.0,Christie and Palatucci were fundraisers together and lobbyists,"<[9.151488E11, 1.479168E12, 1.0]>",http://en.wikipedia.org/wiki/Chris_Christie#Lobbyist,1
Corporate,141,142,165,1.0,Mudd founded FIG,"<[1.325376E12, 1.479168E12, 1.0]>",http://en.wikipedia.org/wiki/Daniel_Mudd,1
Personal,3,105,108,1.0,Married,"<[6.31152E11, 1.479168E12, 1.0]>",http://en.wikipedia.org/wiki/Chris_Christie#Early_life.2C_education.2C_and_family,1
Corporate,128,129,138,1.0,Prince founded RR,"<[1.262304E12, 1.479168E12, 1.0]>",http://www.nytimes.com/2011/05/16/world/middleeast/16prince.html?_r=0,1
Personal,103,102,103,1.0,Gates was founder of BMGates Foundation,"<[9.466848E11, 1.479168E12, 1.0]>",,1
Service,143,66,168,1.0,Allison oversaw the TARP bailout during the Obama Admin.,"<[1.230768E12, 1.2937536E12, 1.0]>",http://en.wikipedia.org/wiki/Herbert_M._Allison,1
Personal,135,137,150,1.0,Dodd and Mozilo are friends,,http://www.wsj.com/articles/SB121279970984353933,1
Personal,133,62,156,1.0,Johnson is on the steering committee for Bilderberg,"<[1.3569984E12, 1.479168E12, 1.0]>",http://en.wikipedia.org/wiki/James_A._Johnson_(politics)#Other_memberships,1
Service,68,66,43,1.0,Obama succeeded Bush in 2008,"<[1.1991456E12, 1.479168E12, 1.0]>",,1
Service,100,99,99,1.0,Soros is a trustee of ICG,"<[2008.0, 2016.0, 1.0]>",http://en.wikipedia.org/wiki/International_Crisis_Group,1
Corporate,133,21,155,1.0,Johnson was on the board of GS,"<[9.92214E11, 1.479168E12, 1.0]>",http://en.wikipedia.org/wiki/James_A._Johnson_(politics)#Other_memberships,1
Corporate,141,131,164,1.0,Mudd led Fannie Mae starting in 2000,,http://en.wikipedia.org/wiki/Daniel_Mudd#Fannie_Mae,1
Personal,164,168,205,1.0,Bernie and Larry Sanders are brothers. Larry is a respected Green Party member in Oxford (UK),,http://en.wikipedia.org/wiki/Bernie_Sanders#Personal_life,1
Corporate,85,87,79,1.0,"Gust served as a Director of Jack in the Box Inc. from January 1, 2003 to February 10, 2010","<[2008.0, 2016.0, 1.0]>",http://www.bloomberg.com/research/stocks/people/person.asp?personId=274293&ticker=JACK&previousCapId=316829&previousTitle=Jack%2520in%2520the%2520Box%2520Inc.,1
Donor,78,66,68,1.0,Donated over 755k to Obama,"<[2008.0, 2016.0, 1.0]>",https://www.opensecrets.org/pres08/contrib.php?cid=N00009638,1
Personal,85,84,77,1.0,Anne Gust and Jerry Brown are Married,"<[2008.0, 2016.0, 1.0]>",http://en.wikipedia.org/wiki/Anne_Gust#Personal_life,1
Corporate,135,134,147,1.0,Mozilo was head of Countrywide,"<[9.466848E11, 1.2148668E12, 1.0]>",http://en.wikipedia.org/wiki/Bank_of_America_Home_Loans#Countrywide_Financial.27s_former_management,1
Corporate,110,109,117,1.0,Alexander was Pres. and CEO of FirstEnergy,"<[1.0729152E12, 1.4200704E12, 1.0]>",http://en.wikipedia.org/wiki/FirstEnergy#Executives,1
Corporate,109,3,114,1.0,"FirstEnergy owns GPU, the utilities company servicing in NJ and operating 3 mile Island","<[9.783072E11, 1.479168E12, 1.0]>",http://en.wikipedia.org/wiki/FirstEnergy#GPU,1
Service,59,99,100,1.0,Mitchell is on Trustees of ICG,"<[2008.0, 2016.0, 1.0]>",http://en.wikipedia.org/wiki/International_Crisis_Group,1
Corporate,158,4,197,1.0,"Jeb Bush ""consulted"" and invested with Osorio","<[1.1968128E12, 1.2845916E12, 1.0]>",http://d35brb9zkkbdsd.cloudfront.net/wp-content/uploads/2014/11/032113-Osorio-compromise-with-Jeb-Bush-Associates.pdf,1
Service,70,68,45,1.0,Cheney was Vice President for G.W. Bush,"<[9.799488E11, 1.2324096E12, 1.0]>",,1
Donor,76,66,66,1.0,Donated over 847k to Obama,"<[2008.0, 2016.0, 1.0]>",https://www.opensecrets.org/pres08/contrib.php?cid=N00009638,1
